6207
20140802175659,10.0.0.2,58563,10.0.0.1,5001,3,0.0-1.0,4325376,34603008
20140802175700,10.0.0.2,58563,10.0.0.1,5001,3,1.0-2.0,5636096,45088768
20140802175701,10.0.0.2,58563,10.0.0.1,5001,3,2.0-3.0,6291456,50331648
20140802175702,10.0.0.2,58563,10.0.0.1,5001,3,3.0-4.0,5111808,40894464
20140802175703,10.0.0.2,58563,10.0.0.1,5001,3,4.0-5.0,6291456,50331648
20140802175704,10.0.0.2,58563,10.0.0.1,5001,3,5.0-6.0,5242880,41943040
20140802175705,10.0.0.2,58563,10.0.0.1,5001,3,6.0-7.0,5111808,40894464
20140802175706,10.0.0.2,58563,10.0.0.1,5001,3,7.0-8.0,5242880,41943040
20140802175707,10.0.0.2,58563,10.0.0.1,5001,3,8.0-9.0,5242880,41943040
20140802175708,10.0.0.2,58563,10.0.0.1,5001,3,9.0-10.0,5111808,40894464
20140802175709,10.0.0.2,58563,10.0.0.1,5001,3,10.0-11.0,5111808,40894464
20140802175710,10.0.0.2,58563,10.0.0.1,5001,3,11.0-12.0,6291456,50331648
20140802175711,10.0.0.2,58563,10.0.0.1,5001,3,12.0-13.0,5242880,41943040
20140802175712,10.0.0.2,58563,10.0.0.1,5001,3,13.0-14.0,5111808,40894464
20140802175713,10.0.0.2,58563,10.0.0.1,5001,3,14.0-15.0,5242880,41943040
20140802175714,10.0.0.2,58563,10.0.0.1,5001,3,15.0-16.0,5242880,41943040
20140802175715,10.0.0.2,58563,10.0.0.1,5001,3,16.0-17.0,5111808,40894464
20140802175716,10.0.0.2,58563,10.0.0.1,5001,3,17.0-18.0,6291456,50331648
20140802175717,10.0.0.2,58563,10.0.0.1,5001,3,18.0-19.0,5242880,41943040
20140802175718,10.0.0.2,58563,10.0.0.1,5001,3,19.0-20.0,5111808,40894464
20140802175719,10.0.0.2,58563,10.0.0.1,5001,3,20.0-21.0,5242880,41943040
20140802175720,10.0.0.2,58563,10.0.0.1,5001,3,21.0-22.0,5242880,41943040
20140802175721,10.0.0.2,58563,10.0.0.1,5001,3,22.0-23.0,5242880,41943040
20140802175722,10.0.0.2,58563,10.0.0.1,5001,3,23.0-24.0,5242880,41943040
20140802175723,10.0.0.2,58563,10.0.0.1,5001,3,24.0-25.0,5242880,41943040
20140802175724,10.0.0.2,58563,10.0.0.1,5001,3,25.0-26.0,5242880,41943040
20140802175725,10.0.0.2,58563,10.0.0.1,5001,3,26.0-27.0,5373952,42991616
20140802175726,10.0.0.2,58563,10.0.0.1,5001,3,27.0-28.0,5242880,41943040
20140802175727,10.0.0.2,58563,10.0.0.1,5001,3,28.0-29.0,6291456,50331648
20140802175728,10.0.0.2,58563,10.0.0.1,5001,3,29.0-30.0,5242880,41943040
20140802175729,10.0.0.2,58563,10.0.0.1,5001,3,30.0-31.0,5242880,41943040
20140802175730,10.0.0.2,58563,10.0.0.1,5001,3,31.0-32.0,5242880,41943040
20140802175731,10.0.0.2,58563,10.0.0.1,5001,3,32.0-33.0,5373952,42991616
20140802175732,10.0.0.2,58563,10.0.0.1,5001,3,33.0-34.0,5111808,40894464
20140802175733,10.0.0.2,58563,10.0.0.1,5001,3,34.0-35.0,5373952,42991616
20140802175734,10.0.0.2,58563,10.0.0.1,5001,3,35.0-36.0,6422528,51380224
20140802175735,10.0.0.2,58563,10.0.0.1,5001,3,36.0-37.0,5373952,42991616
20140802175736,10.0.0.2,58563,10.0.0.1,5001,3,37.0-38.0,5242880,41943040
20140802175737,10.0.0.2,58563,10.0.0.1,5001,3,38.0-39.0,5373952,42991616
20140802175738,10.0.0.2,58563,10.0.0.1,5001,3,39.0-40.0,5242880,41943040
20140802175739,10.0.0.2,58563,10.0.0.1,5001,3,40.0-41.0,5373952,42991616
20140802175740,10.0.0.2,58563,10.0.0.1,5001,3,41.0-42.0,5242880,41943040
20140802175741,10.0.0.2,58563,10.0.0.1,5001,3,42.0-43.0,5373952,42991616
20140802175742,10.0.0.2,58563,10.0.0.1,5001,3,43.0-44.0,6291456,50331648
20140802175743,10.0.0.2,58563,10.0.0.1,5001,3,44.0-45.0,5242880,41943040
20140802175744,10.0.0.2,58563,10.0.0.1,5001,3,45.0-46.0,5373952,42991616
